[RUN] id=20260213_230032 epochs=20 emb_dim=512 verif_interval=5000
[RUN] train_log_interval=1000 num_classes=85742
[RUN] train_log=logs/train/train_20260213_230032.log test_log=logs/test/test_20260213_230032.log
[RUN] torchao_int8=True
step=145000 epoch=5 loss=17.1857 acc=0.938746 lr=0.01
step=146000 epoch=5 loss=17.1757 acc=0.938801 lr=0.01
step=147000 epoch=5 loss=17.1678 acc=0.938883 lr=0.01
step=148000 epoch=5 loss=17.1592 acc=0.938953 lr=0.01
step=149000 epoch=5 loss=17.1521 acc=0.939011 lr=0.01
step=150000 epoch=5 loss=17.1429 acc=0.939124 lr=0.01
step=151000 epoch=5 loss=17.1344 acc=0.939208 lr=0.01
epoch=5 train_loss=17.1277 train_acc=0.939282 epoch_time=2842.3s ETA=11:50:34
step=152000 epoch=6 loss=15.2436 acc=0.936373 lr=0.003
step=153000 epoch=6 loss=14.7588 acc=0.940331 lr=0.003
step=154000 epoch=6 loss=14.5682 acc=0.941468 lr=0.003
step=155000 epoch=6 loss=14.4119 acc=0.942362 lr=0.003
step=156000 epoch=6 loss=14.2724 acc=0.943257 lr=0.003
step=157000 epoch=6 loss=14.1674 acc=0.943957 lr=0.003
step=158000 epoch=6 loss=14.0704 acc=0.944714 lr=0.003
step=159000 epoch=6 loss=13.9888 acc=0.945438 lr=0.003
step=160000 epoch=6 loss=13.9183 acc=0.945986 lr=0.003
step=161000 epoch=6 loss=13.8618 acc=0.946441 lr=0.003
step=162000 epoch=6 loss=13.8074 acc=0.946895 lr=0.003
step=163000 epoch=6 loss=13.7628 acc=0.947285 lr=0.003
step=164000 epoch=6 loss=13.7223 acc=0.947614 lr=0.003
step=165000 epoch=6 loss=13.6899 acc=0.947898 lr=0.003
step=166000 epoch=6 loss=13.6569 acc=0.948178 lr=0.003
step=167000 epoch=6 loss=13.6300 acc=0.948379 lr=0.003
step=168000 epoch=6 loss=13.6073 acc=0.948584 lr=0.003
step=169000 epoch=6 loss=13.5836 acc=0.948786 lr=0.003
step=170000 epoch=6 loss=13.5633 acc=0.948961 lr=0.003
step=171000 epoch=6 loss=13.5452 acc=0.949134 lr=0.003
step=172000 epoch=6 loss=13.5284 acc=0.949287 lr=0.003
step=173000 epoch=6 loss=13.5124 acc=0.949431 lr=0.003
step=174000 epoch=6 loss=13.5003 acc=0.949559 lr=0.003
step=175000 epoch=6 loss=13.4871 acc=0.949689 lr=0.003
step=176000 epoch=6 loss=13.4748 acc=0.949804 lr=0.003
step=177000 epoch=6 loss=13.4636 acc=0.949941 lr=0.003
step=178000 epoch=6 loss=13.4547 acc=0.950030 lr=0.003
step=179000 epoch=6 loss=13.4471 acc=0.950121 lr=0.003
step=180000 epoch=6 loss=13.4403 acc=0.950207 lr=0.003
step=181000 epoch=6 loss=13.4345 acc=0.950275 lr=0.003
epoch=6 train_loss=13.4278 train_acc=0.950362 epoch_time=2840.5s ETA=11:02:47
